,Year,Competition,Round,Rank,Name,Result
278,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,7,Domen Skofic,32
279,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,8,Stefano Ghisolfi,4+
280,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,1,Jakob Schubert,Top
281,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,2,Domen Skofic,49
282,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,3,Romain Desgranges,44+
283,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,4,Ramón Julian  Puigblanque,44
284,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,5,Sean Mccoll,41+
285,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,6,Stefano Ghisolfi,32+
286,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,7,Akito Matsushima,26+
287,2014,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR)",F,8,Gautier Supper,14+
288,2014,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,1,Stefano Ghisolfi,36+
289,2014,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,2,Ramón Julian  Puigblanque,36
290,2014,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,3,Romain Desgranges,34+
291,2014,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,4,Domen Skofic,34+
292,2014,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,5,Sean Mccoll,33+
